,Rank,Mark,Player Name,DOB,Nat,Pos,Venue,Date
13375,1702,10.97,Wan'Ya WILLIAMS,,USA,5f7,"Long Beach, CA (USA)",21 APR 2018
13376,1702,10.97,Isaiah GUINYARD,,USA,2h1,"Wesley Chapel, FL (USA)",25 APR 2018
13377,1702,10.97,Peyton POWELL,,USA,7h1,"Arlington, TX (USA)",27 APR 2018
13378,1702,10.97,Shuraimy BITO,09 FEB 1999,NED,2f5,Medellín (COL),28 APR 2018
13379,1702,10.97,Jahlil JEFFERSON,,USA,1f2,"Knoxville, TN (USA)",01 MAY 2018
13380,1702,10.97,Patrick HEARD,,USA,4,"Baton Rouge, LA (USA)",05 MAY 2018
13381,1702,10.97,Daniel NUÑEZ,05 MAY 2001,MEX,2h1,Ciudad de México (MEX),05 MAY 2018
13382,1702,10.97,Lazerrius COLEMAN,,USA,4,"Pearl, MS (USA)",05 MAY 2018
13383,1702,10.97,Silas ROBINSON,,USA,6h1,"Carrollton, GA (USA)",11 MAY 2018
13384,1702,10.97,Matúš OPAVSKÝ,07 NOV 1999,SVK,2h,Trnava (SVK),12 MAY 2018
13385,1702,10.97,Mattia DI PANFILO,24 OCT 1999,ITA,4f1,Tivoli (ITA),19 MAY 2018
13386,1702,10.97,Josh JOHNSON,,USA,6,"Torrance, CA (USA)",19 MAY 2018
13387,1702,10.97,Brendan SHAFFER,,USA,2sf2,"Seth Grove Stadium, Shippensburg, PA (USA)",19 MAY 2018
13388,1702,10.97,Andrew OLENEK,,USA,6h1,"Charleston, IL (USA)",24 MAY 2018
13389,1702,10.97,Basil BUCKNER,,USA,1h3,"Charleston, IL (USA)",24 MAY 2018
13390,1702,10.97,Chang-Huan LI,11 DEC 1999,TPE,6h6,Taipei City (TPE),25 MAY 2018
13391,1702,10.97,Jonatan Greni BJERKAAS,28 MAR 1999,NOR,1,Trondheim (NOR),26 MAY 2018
13392,1702,10.97,Michael TOMLIN,,USA,2,"Shippensburg, PA (USA)",26 MAY 2018
13393,1702,10.97,Grant CONWAY,12 SEP 2000,USA,3,"Jefferson City, MO (USA)",26 MAY 2018
13394,1702,10.97,Don LEWIS,,USA,3,"Baltimore, MD (USA)",26 MAY 2018
13395,1702,10.97,Akil RILEY,,USA,8h3,"Clovis, CA (USA)",01 JUN 2018
13396,1702,10.97,Justin CANEDY,,USA,7h1,"Columbus, OH (USA)",01 JUN 2018
13397,1702,10.97,Christopher SYKES,,USA,8h2,"La Crosse, WI (USA)",01 JUN 2018
13398,1702,10.97,Vinson LOGAN,,USA,3h3,"Newport News, VA (USA)",01 JUN 2018
13399,1702,10.97,Piero Rafel BRAGHIERI,21 OCT 2002,ESA,1h1,San Salvador (ESA),01 JUN 2018
13400,1702,10.97,Maxime LANCELOT,02 AUG 2000,FRA,2,Sarcelles (FRA),02 JUN 2018
13401,1702,10.97,Allan LAGUI,21 SEP 1999,FRA,1h2,Gagny (FRA),02 JUN 2018
13402,1702,10.97,Joscha BRETSCHNEIDER,25 JUL 2000,GER,4h2,Zeulenroda (GER),09 JUN 2018
13403,1702,10.97,Karl-william JACQUEMET,16 JUL 1999,FRA,4h1,Dijon (FRA),10 JUN 2018
13404,1702,10.97,Jordi MERUCCI,20 JAN 1999,ESP,1h1,El Prat de Llobregat (ESP),12 JUN 2018
13405,1702,10.97,Stsiapan CHYSHANKOU,19 JUL 2002,BLR,1,Grodno (BLR),12 JUN 2018
13406,1702,10.97,Deji SHOLOTAN,19 JAN 2000,NGR,1h7,Lagos (NGR),12 JUN 2018
13407,1702,10.97,Dominik KREŠO,11 JAN 2001,CRO,2,Split (CRO),16 JUN 2018
13408,1702,10.97,Alwayne CAMPBELL,31 JUL 2000,GBR,4h5,Bedford (GBR),16 JUN 2018
13409,1702,10.97,Oshay WILLIAMS,,GBR,5sr4,Lee Valley (GBR),20 JUN 2018
13410,1702,10.97,Emīls Kristofers JONĀSS,15 JAN 2001,LAT,1,Saldus (LAT),21 JUN 2018
13411,1702,10.97,Iván MARQUEZ,17 SEP 2000,ESP,2h3,Valencia (ESP),29 JUN 2018
13412,1702,10.97,Thomas CAREDDA,15 JUN 1999,FRA,1,Nice (FRA),04 JUL 2018
13413,1702,10.97,Pierce LACOSTE,,USA,1ce,"Clearwater, FL (USA)",05 JUL 2018
13414,1702,10.97,Jesaiah PENSON-MCCOY,2001,CAN,1f2,Coquitlam (CAN),14 JUL 2018
13415,1702,10.97,Zion BROOKES,2002,CAN,1sf1,Windsor (CAN),21 JUL 2018
13416,1702,10.97,Maciej PAWEŁCZYK,15 FEB 2001,POL,3f1,Czestochowa (POL),21 JUL 2018
13417,1702,10.97,Joey FOX,,USA,4h7,"Greensboro, NC (USA)",26 JUL 2018
13418,1702,10.97,Omari WALKER,,USA,3sf2,"Greensboro, NC (USA)",27 JUL 2018
13419,1702,10.97,Tyrese REID,,USA,1h9,"Des Moines, IA (USA)",30 JUL 2018
13420,1702,10.97,Ben HIGGINS,14 NOV 2000,GBR,5f3,Lee Valley (GBR),01 AUG 2018
13421,1702,10.97,Issa SANAGRE,16 MAR 2001,MLI,2h2,Buenos Aires (ARG),12 OCT 2018
13422,1702,10.97,Kenta TANAKA,02 SEP 2000,JPN,7h1,Nagoya (JPN),20 OCT 2018
13423,1702,10.97,Riku NATSUME,06 MAR 2002,JPN,4h2,Nagoya (JPN),20 OCT 2018
13424,1702,10.97,Sota YAMAGUCHI,09 MAY 2000,JPN,3,Kitakyushu (JPN),27 OCT 2018
13425,1765,10.98,Ethan HOLMAN,10 JAN 1999,NZL,5,Hastings (NZL),27 JAN 2018
13426,1765,10.98,Deneo BRANGMAN,17 OCT 2000,BER,3h3,St. Michael (BAR),17 FEB 2018
13427,1765,10.98,Branden SMITH,25 FEB 1999,USA,6f1,"Berkeley, CA (USA)",03 MAR 2018
13428,1765,10.98,Patrick C. CHILESHE,2001,ZAM,2h2,Ndola (ZAM),03 MAR 2018
13429,1765,10.98,Tajay SMITH,2003,JAM,3h2,Kingston (JAM),22 MAR 2018
13430,1765,10.98,Tyreek BUCKNOR,27 JUL 2000,JAM,5h6,Kingston (JAM),22 MAR 2018
13431,1765,10.98,William ROBERSON,,USA,1h7,"Houston, TX (USA)",23 MAR 2018
13432,1765,10.98,Zavion GOODMAN,2000,USA,1h1,"Dallas, TX (USA)",24 MAR 2018
13433,1765,10.98,Travon CHANCE,,USA,6h3,"Austin, TX (USA)",30 MAR 2018
13434,1765,10.98,Jordan ANDERSON,1999,USA,1f5,"Spartanburg, SC (USA)",31 MAR 2018
13435,1765,10.98,Jesse JOSIAS,27 MAR 2002,RSA,3h3,Paarl (RSA),05 APR 2018
13436,1765,10.98,Justin FONG,,USA,3f1,"Los Angeles, CA (USA)",12 APR 2018
13437,1765,10.98,Shomari LAWRENCE,,USA,5,"Pompano Beach, FL (USA)",13 APR 2018
13438,1765,10.98,Obi IFEDIORA,01 MAY 1999,USA,1h3,"Providence, RI (USA)",14 APR 2018
13439,1765,10.98,Imari HURTE,,USA,2,"Eugene, OR (USA)",14 APR 2018
13440,1765,10.98,Deangelas BAKER,,USA,3,"Flowood, MS (USA)",21 APR 2018
13441,1765,10.98,Mattia MECOZZI,09 NOV 2001,ITA,6f3,Modena (ITA),25 APR 2018
13442,1765,10.98,Savorian WARREN,,USA,4,"Punta Gorda, FL (USA)",26 APR 2018
13443,1765,10.98,Loic NTOUATOLO,14 MAR 1999,FRA,1,Chenove (FRA),28 APR 2018
13444,1765,10.98,Kevin LIU,25 JAN 1999,USA,7,"Pullman, WA (USA)",28 APR 2018
13445,1765,10.98,Manuel WAGNER,08 MAR 1999,GER,2h4,Wetzlar (GER),05 MAY 2018
13446,1765,10.98,Samuel BENJAMIN,,USA,3,"Jacksonville, FL (USA)",05 MAY 2018
13447,1765,10.98,Lamin JARJU,1999,ITA,1f2,Matera (ITA),05 MAY 2018
13448,1765,10.98,Jordan THOMPSON,,USA,7,"Gulf Shores, AL (USA)",05 MAY 2018
13449,1765,10.98,Sadiki MCFARLANE,,JAM,2h2,"Bowie, MD (USA)",05 MAY 2018
13450,1765,10.98,Damarjae CORTEZ,,USA,5,"Austin, TX (USA)",11 MAY 2018
13451,1765,10.98,Zach ZAMZOW,,USA,6,"Austin, TX (USA)",11 MAY 2018
13452,1765,10.98,Christian ROYALSTON,,USA,5h1,"Carrollton, GA (USA)",11 MAY 2018
13453,1765,10.98,Ibro SOUMAH,,USA,2h1,"Lakewood, PA (USA)",17 MAY 2018
13454,1765,10.98,Florian HEUGEROT,25 MAR 2000,FRA,1f3,Bourg-en-Bresse (FRA),20 MAY 2018
13455,1765,10.98,Jovan MARSH,,USA,6h2,"Charleston, IL (USA)",24 MAY 2018
13456,1765,10.98,Franky WEST,,USA,4h3,"Charleston, IL (USA)",24 MAY 2018
13457,1765,10.98,Kolby PRUITT,,USA,3h6,"Charleston, IL (USA)",24 MAY 2018
13458,1765,10.98,Chun Yin POON,28 SEP 1999,HKG,3h7,Taipei City (TPE),25 MAY 2018
13459,1765,10.98,Wyatt MURPHY,,USA,6h1,"Jefferson City, MO (USA)",25 MAY 2018
13460,1765,10.98,Ethan WILLIAMS,,RSA,2h1,"Baltimore, MD (USA)",25 MAY 2018
13461,,,,,,,,
13462,1765,10.98,Immanuel ONYEMAH,2000,CAN,4,Brampton (CAN),31 MAY 2018
13463,1765,10.98,Kayron ADAMS,,USA,8h1,"Columbus, OH (USA)",01 JUN 2018
13464,1765,10.98,Alec MUCK,,USA,1,"Grand Rapids, MI (USA)",02 JUN 2018
13465,1765,10.98,Connor CROWE,2001,IRL,1,Tullamore (IRL),02 JUN 2018
13466,1765,10.98,Jacob LEIGH,17 SEP 2000,USA,5,"Somerset, NJ (USA)",02 JUN 2018
13467,1765,10.98,Rahmir JOHNSON,,USA,3f2,"Somerset, NJ (USA)",02 JUN 2018
13468,1765,10.98,Jalen BOWMAN,,USA,8,"Bloomington, IN (USA)",02 JUN 2018
13469,1765,10.98,Brandon RAYSOR,,USA,2h1,"Cicero, NY (USA)",08 JUN 2018
13470,1765,10.98,Jaime SARDINERO,01 AUG 1999,ESP,6f1,Getafe (ESP),13 JUN 2018
13471,1765,10.98,Levi HAZES,07 JAN 2000,NED,7,Emmeloord (NED),15 JUN 2018
13472,1765,10.98,Luke COLLIS,,GBR,7sf3,Bedford (GBR),16 JUN 2018
13473,1765,10.98,Evandro Jose DA SILVA,24 JAN 2001,BRA,3h8,Bragança Paulista (BRA),21 JUN 2018
13474,1765,10.98,Correy SHERROD,28 AUG 2000,BAH,6h1,Nassau (BAH),22 JUN 2018
13475,1765,10.98,Romar Hariston STAPLETON,19 MAR 2002,VIN,h4,Port-of-Spain (TTO),22 JUN 2018
13476,1765,10.98,Javier Kiki DOMINGUEZ,05 AUG 2002,ESP,2h5,Gijón (ESP),23 JUN 2018
13477,1765,10.98,Unai MITXELENA,08 FEB 2001,ESP,2sf1,Gijón (ESP),23 JUN 2018
13478,1765,10.98,Hernan CORTES,03 MAR 2001,ESP,1sf3,Gijón (ESP),23 JUN 2018
13479,1765,10.98,Patrick JOHANNESSEN,21 MAR 2000,NOR,1h1,Lillehammer (NOR),24 JUN 2018
13480,1765,10.98,Pedro P. GUTIÉRREZ,25 APR 2000,CUB,7,Camagüey (CUB),27 JUN 2018
13481,1765,10.98,Alexis LATOUCHE,26 JUL 2000,FRA,1f2,Longjumeau (FRA),28 JUN 2018
13482,1765,10.98,Frank Arturo HANSSELL,09 AUG 2001,PAN,6,Cuenca (ECU),30 JUN 2018
13483,1765,10.98,John-gary BERNARD,04 JUN 1999,FRA,1h2,Aix-les-Bains (FRA),30 JUN 2018
13484,1765,10.98,Thomas MILANI,09 MAY 2000,ITA,3f1,Cinisello Balsamo (ITA),30 JUN 2018
13485,1765,10.98,Eugene AKA,10 JUN 2000,FRA,2h1,Salon-de-Provence (FRA),01 JUL 2018
13486,1765,10.98,Anthony MUGERIN,30 APR 1999,FRA,5f1,Joinville-le-Point (FRA),12 JUL 2018
13487,1765,10.98,Marten HUFSCHILD,19 AUG 2002,GER,2,Berlin (GER),14 JUL 2018
13488,1765,10.98,Lucas DIAS,06 JAN 1999,POR,3,Braga (POR),21 JUL 2018
13489,1765,10.98,Ryhan MARSHALL,,USA,2h2,"Greensboro, NC (USA)",26 JUL 2018
13490,1765,10.98,Devin BREWINGTON,2002,USA,4sf2,"Greensboro, NC (USA)",27 JUL 2018
13491,1765,10.98,Dylan BROWN,28 FEB 2002,USA,2h6,"Des Moines, IA (USA)",30 JUL 2018
13492,1765,10.98,Haruya OGATA,18 JUN 2000,JPN,1ce2,Ise (JPN),02 AUG 2018
13493,1765,10.98,Wenxu QIN,12 AUG 1999,CHN,4h11,Dalian (CHN),03 AUG 2018
13494,1765,10.98,Jardin DAVID,2001,CAN,2h2,Brandon (CAN),10 AUG 2018
13495,1765,10.98,Trae TOMLINSON,2003,CAN,2h2,Brandon (CAN),10 AUG 2018
13496,1765,10.98,Romaric ZOUBGA,11 APR 2001,BUR,6,Ouagadougou (BUR),18 AUG 2018
13497,1765,10.98,Naoki INOUE,16 SEP 2003,JPN,1h2,Fukui (JPN),06 OCT 2018
13498,1765,10.98,Hikaru IIDA,01 MAR 2001,JPN,6h3,Nagoya (JPN),20 OCT 2018
13499,1765,10.98,Prosper NWOKO,07 JUL 2003,AUS,1sf1,Brisbane (AUS),25 OCT 2018
13500,1765,10.98,Luke GOSCHNIK,01 OCT 2001,AUS,1f1,Sydney (AUS),27 OCT 2018
13501,1765,10.98,Calvin Bogosi BATHUSI,21 MAY 2001,BOT,1h2,Gaborone (BOT),11 DEC 2018
13502,1765,10.98,Ryan COOPER,11 SEP 1999,AUS,3f4,Hobart (AUS),22 DEC 2018
13503,1842,10.99,Duanee PORTEOUS,,JAM,2f6,Kingston (JAM),06 JAN 2018
13504,1842,10.99,Ntando MOLEFE,,RSA,2h2,Potchefstroom (RSA),20 JAN 2018
13505,1842,10.99,Michael MORRISON,,JAM,3f8,Kingston (JAM),03 FEB 2018
13506,1842,10.99,Max HAGICOSTAS,2002,AUS,4,Adelaide (AUS),03 MAR 2018
13507,1842,10.99,Karon BAIN,1999,BAH,2h4,"Houston, TX (USA)",16 MAR 2018
13508,1842,10.99,Junior MABIA,01 OCT 2001,AUS,2h2,Sydney (AUS),18 MAR 2018
13509,1842,10.99,Malik WALLACE,,USA,7,"Dallas, TX (USA)",24 MAR 2018
13510,1842,10.99,Lavon WALLACE,,USA,6,"Palo Alto, CA (USA)",31 MAR 2018
13511,1842,10.99,Darius GLOVER,,USA,1f2,"Mesa, AZ (USA)",13 APR 2018
13512,1842,10.99,Jamal MCMURRIN,,USA,3,"Eugene, OR (USA)",14 APR 2018
13513,1842,10.99,Trevor WILSON,,USA,6,"Tallahassee, FL (USA)",25 APR 2018
13514,1842,10.99,Joey JOHNSON,,USA,1h2,"Tallahassee, FL (USA)",25 APR 2018
13515,1842,10.99,Ardell INLAY,,USA,6,"Des Moines, IA (USA)",27 APR 2018
13516,1842,10.99,Cedric WHITE,,USA,4h1,"Commerce, TX (USA)",27 APR 2018
13517,1842,10.99,Jaden THOMAS,,USA,2h1,"Gulf Shores, AL (USA)",04 MAY 2018
13518,1842,10.99,Richard ANTABLIN,,USA,5,"Mission Viejo, CA (USA)",04 MAY 2018
13519,1842,10.99,Cedric WOODS,,USA,6,"Baton Rouge, LA (USA)",05 MAY 2018
13520,1842,10.99,Will MALLORY,,USA,4,"Jacksonville, FL (USA)",05 MAY 2018
13521,1842,10.99,Jacob SOLOMON,,USA,5,"Jacksonville, FL (USA)",05 MAY 2018
13522,1842,10.99,Tevin THOMPSON,11 NOV 2000,JAM,5f2,Kingston (JAM),05 MAY 2018
13523,1842,10.99,JaQuerius WILSON,,USA,8,"Gulf Shores, AL (USA)",05 MAY 2018
13524,1842,10.99,Lamont FRISBY,,USA,2h2,"Monmouth, OR (USA)",11 MAY 2018
13525,1842,10.99,Jelani STODDARD,,USA,3,"White Plains, NY (USA)",12 MAY 2018
13526,1842,10.99,Montez WRIGHT,,USA,2,"Albuquerque, NM (USA)",12 MAY 2018
13527,1842,10.99,Jean Paul BREDAU,27 JUN 1999,GER,1,Potsdam (GER),16 MAY 2018
13528,1842,10.99,Zach BARTON,,USA,1h1,"Jefferson City, MO (USA)",18 MAY 2018
13529,1842,10.99,Simon EHAMMER,07 FEB 2000,SUI,ce,Landquart (SUI),19 MAY 2018
13530,1842,10.99,Isaiah VEAL,,USA,2,"Torrance, CA (USA)",19 MAY 2018
13531,1842,10.99,Qifan YANG,24 NOV 1999,CHN,3h14,Chongqing (CHN),22 MAY 2018
13532,1842,10.99,Ryan CURINGTON,2001,USA,2h5,"Charleston, IL (USA)",24 MAY 2018
13533,1842,10.99,Joussef MAHRA,2000,GER,5f2,Jena (GER),26 MAY 2018
13534,1842,10.99,Rodger WRIGHT,2001,USA,4,"Baltimore, MD (USA)",26 MAY 2018
13535,1842,10.99,Logan BLAIR,,USA,7h2,"Clovis, CA (USA)",01 JUN 2018
13536,1842,10.99,Tyriq BUNDY,,USA,1h2,"Bayville, NJ (USA)",01 JUN 2018
13537,1842,10.99,Josep BALLESTEROS,25 NOV 1999,ESP,5,Barcelona (ESP),02 JUN 2018
13538,1842,10.99,Gavin BUERGI,,USA,4,"La Crosse, WI (USA)",02 JUN 2018
13539,1842,10.99,Michael FARRELLY,20 NOV 2002,IRL,2,Tullamore (IRL),02 JUN 2018
13540,1842,10.99,Ryan O'LEARY,17 AUG 2001,IRL,3,Tullamore (IRL),02 JUN 2018
13541,1842,10.99,Cillian GRIFFIN,29 APR 2002,IRL,3,Tullamore (IRL),02 JUN 2018
13542,1842,10.99,Miekel HOUSE,,USA,2,"Bayville, NJ (USA)",02 JUN 2018
13543,1842,10.99,Vilém STRÁSKÝ,03 JUL 1999,CZE,1ce1,Kolin (CZE),02 JUN 2018
13544,1842,10.99,Nick STALDER,17 MAR 2001,SUI,2,Thun (SUI),09 JUN 2018
13545,1842,10.99,Regimantas TIŠKUS,22 SEP 2000,LTU,1h2,Marijampolé (LTU),13 JUN 2018
13546,1842,10.99,Baptiste VAILHE,23 JAN 2000,FRA,5f1,Montgeron (FRA),16 JUN 2018
13547,1842,10.99,Gonçalo GONÇALVES,02 AUG 2001,POR,2h2,Vagos (POR),23 JUN 2018
13548,1842,10.99,Lennard WAGNER,27 FEB 1999,GER,5h3,Erding (GER),23 JUN 2018
13549,1842,10.99,Fabian-Marcus SCHERSING,2000,GER,4f1,Haldensleben (GER),24 JUN 2018
13550,1842,10.99,Jayden FREEMAN,2001,USA,1h3,"Knoxville, TN (USA)",29 JUN 2018
13551,1842,10.99,Montell GREER,2000,USA,1h4,"Knoxville, TN (USA)",29 JUN 2018
13552,1842,10.99,Dimitrios CHRYSAFIS,19 JUN 1999,GRE,3f2,Argos Orestiko (GRE),04 JUL 2018
13553,1842,10.99,Noah ATTALLA,10 JAN 2000,SUI,4,Luzern (SUI),09 JUL 2018
13554,1842,10.99,Luis ALVAREZ,25 FEB 1999,ESP,5sr1,Los Corrales de Buelna (ESP),14 JUL 2018
13555,1842,10.99,Shane MONAGLE,21 APR 2000,IRL,1,Tullamore (IRL),14 JUL 2018
13556,1842,10.99,Khymani REID,2000,CAN,1h2,Calgary (CAN),14 JUL 2018
13557,1842,10.99,Özgür BEYDEMİR,17 JAN 2002,TUR,1f1,Eskisehir (TUR),21 JUL 2018
13558,1842,10.99,Jahmaine HATTEN,,USA,3h2,"Greensboro, NC (USA)",26 JUL 2018
13559,1842,10.99,Nicholas SHARMA,2001,USA,6h9,"Greensboro, NC (USA)",26 JUL 2018
13560,1842,10.99,Reid PULLENS,,USA,6sf1,"Greensboro, NC (USA)",27 JUL 2018
13561,1842,10.99,Vasileios PAPAMARGARITIS,24 AUG 2001,GRE,2h2,Larisa (GRE),28 JUL 2018
13562,,,,,,,,
13563,95,10.46,Alajuwan ROBINSON,,USA,1,"Columbia, SC (USA)",11 MAY 2019
13564,95,10.46,Antoni PLICHTA,10 JAN 2000,POL,2sf2,Borås (SWE),18 JUL 2019
13565,95,10.46,Joel PASCALL-MENZIE,03 NOV 2002,GBR,1,Bedford (GBR),31 AUG 2019
13566,104,10.47,J.T. MCCLOUD,,USA,1,"Norman, OK (USA)",19 APR 2019
13567,104,10.47,Sifiso MIYA,01 JUN 2001,RSA,6sf3,Germiston (RSA),25 APR 2019
13568,104,10.47,Ryan O'KEEFE,,USA,2,"Waco, TX (USA)",27 APR 2019
13569,104,10.47,Umut UYSAL,04 MAR 2002,TUR,1,Ankara (TUR),18 MAY 2019
13570,104,10.47,Anthony FRANKLIN,,USA,2f3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",01 JUN 2019
13571,104,10.47,Charles LEWIS,14 OCT 2000,USA,5,"Greensboro, NC (USA)",15 JUN 2019
13572,104,10.47,Robert Cristian BREAHNA,16 AUG 2000,ROU,1,Pitesti (ROU),21 JUN 2019
13573,104,10.47,Joseph TWUMASI,14 AUG 2001,ITA,2f1,Mondovi (ITA),23 JUN 2019
13574,104,10.47,Reynaldo R. ESPINOSA,01 FEB 2003,CUB,1,Camagüey (CUB),17 JUL 2019
13575,113,10.48,Javari THOMAS,25 SEP 2001,JAM,4sf3,Kingston (JAM),29 MAR 2019
13576,113,10.48,Jabari OVERTON,,USA,1h1,"Valhalla Stadium @ Berry College, Mount Berry, GA (USA)",09 MAY 2019
13577,113,10.48,Ashton O'CONNER,2000,USA,1,"Austin, TX (USA)",10 MAY 2019
13578,113,10.48,Ryan MULHOLLAND,,USA,1h2,"Clovis, CA (USA)",24 MAY 2019
13579,113,10.48,Matteo MELLUZZO,29 JUL 2002,ITA,2,Baku (AZE),23 JUL 2019
13580,113,10.48,Liang LU,27 APR 2000,CHN,2,"Shanxi Sports Center Stadium, Taiyuan (CHN)",15 AUG 2019
13581,113,10.48,Shodai HIRANO,28 MAR 2001,JPN,4sf1,"Prefectural Kasamatsu Stadium, Hitachinaka (JPN)",05 OCT 2019
13582,120,10.49,Tai-Sheng WEI,20 AUG 2000,TPE,1,Kaohsiung (TPE),22 APR 2019
13583,120,10.49,Demetrius JACKSON,,USA,2,"Muncie, IN (USA)",11 MAY 2019
13584,120,10.49,Myles MISENER-DALEY,06 MAR 2001,CAN,1,Guelph (CAN),07 JUN 2019
13585,120,10.49,Malachi MURRAY,18 MAR 2000,CAN,3h3,San José (CRC),19 JUL 2019
13586,120,10.49,Ricky PETRUCCIANI,30 JUN 2000,SUI,1f2,Bern (SUI),03 AUG 2019
13587,120,10.49,Owain LLOYD-HUGHES,05 DEC 2001,GBR,1f1,Manchester (GBR),14 AUG 2019
13588,126,10.50,Jacquez STUART,,USA,2,"Miami, FL (USA)",16 APR 2019
13589,126,10.50,Matthew CLARKE,16 MAR 2000,BAR,5,George Town (CAY),20 APR 2019
13590,126,10.50,Tyler DAVIS,,USA,1,"Gulf Shores, AL (USA)",04 MAY 2019
13591,126,10.50,Daniel MOYER,2002,USA,1h2,"Greensboro, NC (USA)",18 MAY 2019
13592,126,10.50,Elijah JOHNSON,2001,USA,1,"La Crosse, WI (USA)",01 JUN 2019
13593,126,10.50,Tazana Mikkel KAMANGA-DYRBAK,12 JAN 2002,DEN,1h3,Baku (AZE),22 JUL 2019
13594,126,10.50,Mirai YAMAMOTO,03 SEP 2000,JPN,1f2,Hachioji (JPN),02 AUG 2019
13595,133,10.51,Loneil MARKS,03 JUL 2001,GUY,2sf1,Georgetown (GUY),09 MAR 2019
13596,133,10.51,Mikaal-il MOHAMED,10 JUN 2001,RSA,1sf1,Pretoria (RSA),16 MAR 2019
13597,133,10.51,Seneca MILLEDGE,20 FEB 2000,USA,1f4,"Tallahassee, FL (USA)",23 MAR 2019
13598,133,10.51,Genson HOOPER PRICE,2001,USA,1h4,"Austin, TX (USA)",29 MAR 2019
13599,133,10.51,Marquez BEASON,,USA,1,"Arlington, TX (USA)",27 APR 2019
13600,133,10.51,Dondra SWINT,,USA,2,"El Dorado, KS (USA)",04 MAY 2019
13601,133,10.51,Davion BYNAUM,2000,USA,1,"Austin, TX (USA)",10 MAY 2019
13602,133,10.51,Dorian HEWITT,,USA,5,"Austin, TX (USA)",11 MAY 2019
13603,133,10.51,Jaylen SLADE,OCT 2003,USA,1f2,"Marietta, GA (USA)",17 MAY 2019
13604,133,10.51,Mehdi NAIT ABDELAZIZ,15 JUN 2000,ALG,1sf3,Angers (FRA),05 JUL 2019
13605,133,10.51,Aşkın Sadi AŞKIN,19 MAY 2000,TUR,2f1,Bursa (TUR),03 AUG 2019
13606,133,10.51,Jiapeng CHEN,05 JUL 2002,CHN,1,"Shanxi Sports Center Stadium, Taiyuan (CHN)",15 AUG 2019
13607,133,10.51,Yonglian HUANG,12 NOV 2000,CHN,2h3,"Shanxi Sports Center Stadium, Taiyuan (CHN)",15 AUG 2019
13608,133,10.51,Towa UZAWA,25 NOV 2002,JPN,1f1,"Municipal Stadium, Hiroshima (JPN)",19 OCT 2019
13609,133,10.51,Franco FLORIO,30 MAY 2000,ARG,1,Rosario (ARG),26 OCT 2019
13610,148,10.52,Jevony MURRAY,,JAM,4f1,"Lubbock, TX (USA)",23 MAR 2019
13611,148,10.52,Dj HENDERSON,11 JAN 2000,USA,1f2,"Tucson, AZ (USA)",27 APR 2019
13612,148,10.52,Kibren MOORE,,USA,2h1,"Valhalla Stadium @ Berry College, Mount Berry, GA (USA)",09 MAY 2019
13613,148,10.52,Saypadia DESAUSSURE,2000,USA,4h4,"Charlottesville, VA (USA)",10 MAY 2019
13614,148,10.52,Jamarcus MATRESS,,USA,1,"Columbia, SC (USA)",11 MAY 2019
13615,148,10.52,Michael GUPTON,,USA,1,"Greensboro, NC (USA)",13 JUN 2019
13616,148,10.52,Tobi OGUNKANMI,04 MAY 2001,GBR,2h2,Mannheim (GER),29 JUN 2019
13617,148,10.52,Paul TRITENNE,05 MAY 2000,FRA,1sf2,Angers (FRA),05 JUL 2019
13618,148,10.52,Kosuke IWAMOTO,13 JUL 2002,JPN,1h9,Okinawa (JPN),05 AUG 2019
13619,148,10.52,Zion ERIKSSON,06 JAN 2002,SWE,1,Göteborg (SWE),09 AUG 2019
13620,158,10.53,Kion BENJAMIN,13 NOV 2000,TTO,1,Port-of-Spain (TTO),14 MAR 2019
13621,158,10.53,Cameron LEIBA,2000,USA,2,"Fort Lauderdale, FL (USA)",22 MAR 2019
13622,158,10.53,Roshaun ROWE,23 SEP 2002,JAM,1h6,Kingston (JAM),28 MAR 2019
13623,158,10.53,Chiebuka ONWUZURIKE,,USA,1h1,"Worcester, MA (USA)",03 MAY 2019
13624,158,10.53,Caleb MCMILLER,,USA,2,"Austin, TX (USA)",10 MAY 2019
13625,158,10.53,Ryo WADA,18 MAY 2000,JPN,5h4,Sagamihara (JPN),23 MAY 2019
13626,158,10.53,Dylan BROWN,28 FEB 2002,USA,3h3,La Habana (CUB),07 JUN 2019
13627,158,10.53,Kamden JACKSON,,USA,1f7,"Albuquerque, NM (USA)",08 JUN 2019
13628,158,10.53,Jaheim JONES,27 MAR 2001,USA,6,"Greensboro, NC (USA)",15 JUN 2019
13629,158,10.53,Anderson MARQUINEZ,06 JAN 2001,ECU,3,Cali (COL),15 JUN 2019
13630,158,10.53,Aymeric PRIAM,26 JUN 2000,FRA,3sf1,Borås (SWE),18 JUL 2019
13631,158,10.53,Felix KUNSTEIN,06 SEP 2002,GER,3,Baku (AZE),23 JUL 2019
13632,158,10.53,Zhihong WANG,18 JAN 2000,CHN,1h2,"Shanxi Sports Center Stadium, Taiyuan (CHN)",15 AUG 2019
13633,171,10.54,Cristian MOORE,24 SEP 2000,USA,1f11,"Westlake Village, CA (USA)",16 MAR 2019
